id,age,job,marital,education,location,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29,25.0,blue-collar,single,secondary,Porto,no,,no,no,cellular,18,jun,252,1.0,92,1.0,success,yes
30,53.0,services,married,secondary,,no,1563.0,yes,n,cellular,2,feb,124,2.0,5,1.0,other,no
31,37.0,services,married,secondary,,no,184.0,yes,no,cellular,20,apr,53,1.0,348,3.0,failure,no
32,29.0,self-employed,married,tertiary,,no,1.0,no,no,cellular,18,jul,167,3.0,-1,0.0,unknown,no
33,50.0,blue-collar,married,primary,,no,84.0,yes,n,unknown,29,may,179,1.0,-1,0.0,unknown,no
34,77.0,,married,primary,,no,1492.0,no,n,telephone,1,sep,663,1.0,208,2.0,other,no
35,57.0,technician,married,unknown,,no,1617.0,yes,n,unknown,7,may,96,2.0,-1,0.0,unknown,no
36,30.0,management,single,tertiary,,no,0.0,yes,no,cellular,2,apr,293,2.0,314,2.0,failure,no
37,37.0,blue-collar,married,secondary,,no,-100.0,yes,no,cellular,18,may,108,2.0,349,2.0,failure,no
38,46.0,services,married,secondary,Lisboa,no,53.0,no,yes,cellular,28,jul,31,3.0,-1,0.0,unknown,no
39,58.0,administrator,married,secondary,,no,145.0,yes,no,telephone,29,jul,616,13.0,-1,0.0,unknown,yes
40,33.0,technician,married,secondary,Lisboa,no,884.0,yes,no,unknown,23,may,271,1.0,-1,0.0,unknown,no
41,25.0,,single,tertiary,Porto,no,1734.0,no,no,cellular,19,oct,366,1.0,-1,0.0,unknown,no
42,41.0,blue-collar,,secondary,,no,1165.0,no,n,unknown,12,jun,69,3.0,-1,0.0,unknown,no
43,44.0,blue-collar,married,primary,Lisboa,no,753.0,yes,no,unknown,8,may,151,2.0,-1,0.0,unknown,no
44,50.0,admin.,married,secondary,,no,736.0,yes,n,unknown,14,may,74,1.0,-1,0.0,unknown,no
45,32.0,management,married,tertiary,,no,958.0,yes,no,telephone,17,jul,151,1.0,-1,0.0,unknown,no
46,29.0,services,single,primary,Porto,no,95.0,yes,no,unknown,13,may,266,2.0,-1,0.0,unknown,no
47,37.0,admin.,married,secondary,,no,14.0,yes,n,unknown,8,may,176,2.0,-1,0.0,unknown,no
48,48.0,services,married,secondary,,no,2850.0,yes,no,cellular,6,aug,107,3.0,-1,0.0,unknown,no
49,44.0,services,divorced,secondary,Amadora,no,608.0,yes,y,unknown,18,jun,19,30.0,-1,0.0,unknown,no
50,50.0,unemployed,divorced,unknown,Porto,no,1088.0,no,n,cellular,2,feb,749,1.0,-1,0.0,unknown,yes
51,41.0,management,married,tertiary,,no,6060.0,yes,no,unknown,15,may,71,,-1,0.0,unknown,no
52,35.0,management,married,tertiary,,no,2123.0,yes,no,cellular,20,apr,54,1.0,273,3.0,failure,no
53,55.0,retired,married,primary,Lisboa,no,-90.0,yes,yes,,7,may,634,2.0,-1,0.0,unknown,no
54,61.0,retired,married,secondary,,no,399.0,no,n,cellular,26,aug,81,1.0,-1,0.0,unknown,no
55,84.0,retired,divorced,primary,Lisboa,no,1680.0,no,n,telephone,6,sep,113,5.0,97,3.0,other,no
56,54.0,management,married,tertiary,Lisboa,no,6525.0,yes,n,cellular,17,apr,231,1.0,149,4.0,failure,no
57,28.0,blue-collar,married,secondary,Lisboa,no,-95.0,yes,n,unknown,13,may,200,1.0,-1,0.0,unknown,no
58,50.0,technician,married,secondary,Amadora,no,3176.0,no,no,cellular,7,aug,670,1.0,-1,0.0,unknown,yes
59,30.0,administrator,married,secondary,Porto,no,1589.0,yes,no,cellular,18,nov,51,,-1,0.0,unknown,no
60,60.0,self-employed,married,tertiary,,no,10861.0,no,no,cellular,9,nov,98,1.0,91,2.0,failure,yes
61,33.0,management,married,tertiary,,no,540.0,no,n,cellular,11,aug,79,4.0,-1,0.0,unknown,no
62,,admin.,divorced,secondary,,no,540.0,yes,n,cellular,30,jan,74,1.0,-1,0.0,unknown,no
63,40.0,,married,primary,Lisboa,no,2635.0,yes,n,unknown,2,jun,20,21.0,-1,0.0,unknown,no
64,45.0,management,single,tertiary,Lisboa,no,2067.0,yes,n,cellular,13,aug,393,2.0,462,1.0,success,yes
65,26.0,management,single,tertiary,Lisboa,no,45.0,no,no,cellular,10,jul,1187,3.0,-1,0.0,unknown,yes
66,,blue-collar,single,secondary,,no,82.0,yes,no,cellular,28,jul,86,4.0,-1,0.0,unknown,no
67,35.0,,divorced,secondary,Lisboa,no,356.0,yes,no,unknown,29,may,76,,-1,0.0,unknown,no
68,34.0,services,married,secondary,Lisboa,no,703.0,no,no,cellular,17,apr,282,2.0,150,2.0,failure,no
69,50.0,blue-collar,married,primary,,no,2610.0,yes,yes,unknown,20,may,181,6.0,-1,0.0,unknown,no
70,42.0,technician,single,secondary,Porto,no,146.0,no,n,cellular,8,aug,229,2.0,-1,0.0,unknown,no
71,36.0,services,divorced,secondary,Coimbra,no,54.0,yes,n,cellular,20,nov,355,6.0,-1,0.0,unknown,no
72,60.0,,married,primary,Lisboa,no,17413.0,no,no,unknown,9,jun,200,1.0,-1,0.0,unknown,no
73,25.0,admin.,single,secondary,,no,131.0,yes,y,unknown,9,may,237,1.0,-1,0.0,unknown,no
74,39.0,blue-collar,married,primary,,no,1564.0,no,no,unknown,17,jun,57,1.0,-1,0.0,unknown,no
75,32.0,technician,married,secondary,Porto,no,-95.0,yes,no,cellular,29,jul,935,4.0,-1,0.0,unknown,no
76,50.0,,married,secondary,Lisboa,no,-731.0,yes,n,cellular,15,jul,401,4.0,-1,0.0,unknown,no
77,,blue-collar,divorced,primary,,no,-191.0,yes,n,unknown,15,may,755,1.0,-1,0.0,unknown,yes
78,34.0,,married,secondary,Porto,no,3990.0,yes,n,cellular,24,jul,633,7.0,-1,0.0,unknown,no
79,34.0,blue-collar,married,primary,,no,3527.0,yes,no,cellular,21,nov,1022,1.0,-1,0.0,unknown,yes
80,51.0,management,divorced,tertiary,Lisboa,no,492.0,no,yes,cellular,29,jul,54,7.0,-1,0.0,unknown,no
81,37.0,management,married,tertiary,,yes,0.0,no,n,cellular,17,nov,44,1.0,123,2.0,failure,no
82,63.0,retired,married,secondary,,no,1486.0,no,no,cellular,14,may,698,5.0,316,3.0,other,no
83,59.0,retired,married,primary,,no,0.0,no,no,unknown,16,jun,39,1.0,-1,0.0,unknown,no
84,36.0,technician,divorced,secondary,Lisboa,no,861.0,no,no,telephone,29,aug,140,2.0,-1,0.0,unknown,no
85,38.0,technician,single,secondary,,no,145.0,yes,no,unknown,27,may,109,2.0,-1,0.0,unknown,no
86,34.0,student,single,unknown,Lisboa,no,242.0,no,no,telephone,4,mar,364,2.0,244,2.0,failure,no
87,36.0,,married,tertiary,Lisboa,no,1584.0,yes,no,cellular,18,jul,178,1.0,-1,0.0,unknown,no
88,70.0,retired,married,primary,,no,2346.0,no,n,cellular,1,jun,421,1.0,97,6.0,success,no
89,51.0,,married,primary,Amadora,no,176.0,no,yes,cellular,26,aug,80,2.0,-1,0.0,unknown,no
90,44.0,management,married,secondary,Porto,no,3286.0,yes,no,cellular,18,jul,569,1.0,-1,0.0,unknown,no
91,53.0,unknown,married,unknown,,no,13.0,no,n,telephone,28,jan,69,1.0,-1,0.0,unknown,no
92,56.0,retired,divorced,primary,Lisboa,no,0.0,no,no,unknown,5,jun,27,1.0,-1,0.0,unknown,no
93,40.0,blue-collar,married,primary,Lisboa,no,12.0,yes,no,unknown,5,jun,54,26.0,-1,0.0,unknown,no
94,56.0,management,married,tertiary,,no,935.0,yes,no,cellular,17,nov,140,1.0,-1,0.0,unknown,no
95,,administrator,divorced,secondary,Porto,no,1232.0,no,no,cellular,5,feb,217,1.0,-1,0.0,unknown,no
96,56.0,admin.,married,secondary,,no,1290.0,no,no,unknown,12,jun,243,1.0,-1,0.0,unknown,no
97,65.0,entrepreneur,married,tertiary,,no,2331.0,no,n,telephone,11,aug,425,1.0,183,2.0,success,yes
98,40.0,administrator,married,secondary,Braga,no,3138.0,no,no,cellular,12,aug,238,1.0,-1,0.0,unknown,no
99,49.0,technician,married,secondary,Lisboa,no,412.0,no,no,cellular,19,aug,1293,8.0,-1,0.0,unknown,yes
100,29.0,blue-collar,married,secondary,,no,-478.0,no,yes,cellular,8,jul,528,2.0,-1,0.0,unknown,no
101,28.0,technician,single,secondary,,no,593.0,yes,no,unknown,19,jun,202,1.0,-1,0.0,unknown,no
102,36.0,management,single,tertiary,Lisboa,no,202.0,no,n,cellular,13,aug,150,4.0,-1,0.0,unknown,no
103,29.0,entrepreneur,single,tertiary,,no,135.0,yes,n,cellular,12,may,245,1.0,356,1.0,failure,no
104,31.0,services,married,secondary,Porto,no,-163.0,yes,no,cellular,21,jul,200,2.0,-1,0.0,unknown,no
105,42.0,technician,single,secondary,,no,716.0,yes,no,cellular,21,nov,110,1.0,-1,0.0,unknown,no
106,59.0,management,married,secondary,,no,544.0,no,n,unknown,20,jun,67,2.0,-1,0.0,unknown,no
107,55.0,management,divorced,tertiary,Lisboa,no,271.0,yes,no,cellular,9,apr,191,4.0,-1,0.0,unknown,no
108,34.0,self-employed,married,tertiary,Porto,no,13354.0,no,no,telephone,21,nov,26,5.0,-1,0.0,unknown,no
109,43.0,entrepreneur,single,primary,Porto,no,2124.0,yes,no,cellular,19,nov,104,1.0,-1,0.0,unknown,no
110,38.0,entrepreneur,married,tertiary,Porto,no,228.0,yes,no,cellular,5,feb,105,1.0,-1,0.0,unknown,no
111,45.0,management,married,tertiary,Porto,no,226.0,yes,no,,13,aug,177,6.0,179,10.0,success,yes
112,26.0,management,divorced,tertiary,,yes,-402.0,no,yes,unknown,12,may,127,2.0,-1,0.0,unknown,no
113,54.0,retired,married,secondary,,no,1154.0,yes,n,telephone,3,feb,125,3.0,-1,0.0,unknown,no
114,34.0,blue-collar,single,secondary,,no,,yes,yes,unknown,5,may,346,1.0,-1,0.0,unknown,no
115,57.0,technician,divorced,secondary,,no,204.0,no,no,unknown,6,jun,97,5.0,-1,0.0,unknown,no
116,42.0,blue-collar,married,primary,,no,2273.0,yes,no,cellular,18,nov,253,1.0,112,2.0,failure,no
117,42.0,management,single,tertiary,,no,706.0,no,no,cellular,29,jan,132,,-1,0.0,unknown,no
118,21.0,unemployed,single,secondary,Lisboa,no,1333.0,no,no,cellular,2,feb,120,1.0,-1,0.0,unknown,no
119,47.0,technician,single,secondary,,no,1710.0,no,yes,cellular,16,jul,525,2.0,-1,0.0,unknown,no
120,50.0,technician,married,tertiary,,no,72.0,no,no,telephone,5,dec,12,1.0,-1,0.0,unknown,no
121,57.0,management,divorced,unknown,,no,0.0,no,n,cellular,27,mar,102,1.0,-1,0.0,unknown,no
122,45.0,technician,married,secondary,Lisboa,no,1081.0,yes,no,,17,jul,127,3.0,-1,0.0,unknown,no
123,56.0,unemployed,single,primary,,no,1110.0,no,no,cellular,4,feb,945,2.0,-1,0.0,unknown,yes
124,51.0,self-employed,married,primary,,no,106.0,yes,no,telephone,31,jul,240,2.0,-1,0.0,unknown,no
125,28.0,blue-collar,married,secondary,,no,2378.0,yes,yes,cellular,18,jul,800,6.0,-1,0.0,unknown,no
126,43.0,services,married,primary,,no,3.0,yes,n,unknown,5,may,186,2.0,-1,0.0,unknown,no
127,38.0,technician,single,secondary,,no,-591.0,yes,no,unknown,23,may,71,1.0,-1,0.0,unknown,no
128,49.0,management,married,tertiary,Porto,no,85.0,yes,no,cellular,14,may,590,5.0,359,1.0,other,yes
129,42.0,blue-collar,married,secondary,Lisboa,no,505.0,yes,no,cellular,15,may,117,1.0,-1,0.0,unknown,no
130,,self-employed,married,tertiary,,no,,yes,no,cellular,4,feb,357,1.0,-1,0.0,unknown,no
131,22.0,student,single,secondary,Coimbra,no,224.0,no,no,unknown,14,sep,5,1.0,-1,0.0,unknown,no
132,41.0,blue-collar,married,primary,,no,143.0,yes,yes,unknown,2,jun,659,2.0,-1,0.0,unknown,yes
133,47.0,management,divorced,tertiary,,no,94.0,yes,no,cellular,31,jul,9,19.0,-1,0.0,unknown,no
134,51.0,administrator,divorced,secondary,,no,2195.0,yes,n,unknown,13,may,59,1.0,-1,0.0,unknown,no
135,39.0,technician,married,tertiary,Lisboa,no,3911.0,yes,no,cellular,18,nov,247,2.0,-1,0.0,unknown,no
136,33.0,blue-collar,married,primary,Lisboa,no,,yes,no,cellular,8,may,548,1.0,-1,0.0,unknown,no
137,36.0,technician,single,secondary,,no,1053.0,yes,no,unknown,21,may,147,1.0,-1,0.0,unknown,no
138,32.0,blue-collar,married,secondary,Lisboa,no,931.0,yes,no,unknown,3,jun,409,1.0,-1,0.0,unknown,no
139,53.0,administrator,divorced,secondary,Braga,no,-120.0,yes,no,unknown,27,may,211,1.0,-1,0.0,unknown,no
140,54.0,blue-collar,married,secondary,,no,853.0,no,no,unknown,16,jun,24,5.0,-1,0.0,unknown,no
141,38.0,blue-collar,single,secondary,Lisboa,no,711.0,yes,n,cellular,24,feb,254,5.0,140,1.0,other,no
142,31.0,management,married,tertiary,Lisboa,no,233.0,yes,no,cellular,14,may,241,2.0,365,10.0,failure,no
143,29.0,blue-collar,single,secondary,Lisboa,no,309.0,yes,no,cellular,11,may,471,3.0,-1,0.0,unknown,no
144,34.0,blue-collar,divorced,secondary,,no,3798.0,yes,no,unknown,23,may,488,,-1,,unknown,no
145,41.0,management,married,tertiary,Lisboa,no,97.0,no,no,cellular,18,nov,130,1.0,-1,0.0,unknown,no
146,39.0,,married,primary,Lisboa,no,315.0,yes,n,cellular,15,may,259,3.0,353,3.0,failure,no
147,44.0,services,married,secondary,Lisboa,no,634.0,yes,n,cellular,20,apr,226,2.0,-1,0.0,unknown,no
148,33.0,technician,single,tertiary,,no,0.0,yes,n,cellular,21,nov,654,,-1,0.0,unknown,yes
149,29.0,blue-collar,married,secondary,Porto,no,832.0,yes,no,unknown,16,may,228,2.0,-1,0.0,unknown,no
150,27.0,services,single,secondary,Lisboa,no,353.0,yes,n,cellular,15,may,663,1.0,-1,0.0,unknown,yes
151,60.0,retired,married,secondary,,no,2674.0,no,no,cellular,14,jul,96,2.0,-1,0.0,unknown,no
152,30.0,technician,married,secondary,,no,274.0,yes,yes,cellular,21,nov,105,5.0,102,2.0,failure,no
153,47.0,self-employed,married,unknown,,no,935.0,yes,no,unknown,6,may,225,1.0,-1,0.0,unknown,no
154,35.0,services,married,secondary,,no,27.0,yes,yes,cellular,5,may,442,2.0,278,3.0,failure,no
155,46.0,blue-collar,married,secondary,,no,176.0,no,no,unknown,29,may,131,1.0,-1,0.0,unknown,no
156,71.0,technician,married,tertiary,,no,383.0,no,no,cellular,27,oct,327,2.0,183,3.0,success,no
157,39.0,management,married,secondary,Braga,no,0.0,yes,no,cellular,27,aug,63,3.0,-1,0.0,unknown,no
158,30.0,unemployed,single,tertiary,,no,306.0,no,no,cellular,6,feb,90,6.0,256,14.0,failure,no
159,32.0,management,single,tertiary,Lisboa,no,2974.0,yes,no,cellular,20,apr,169,1.0,-1,0.0,unknown,no
160,34.0,admin.,married,secondary,Lisboa,no,147.0,yes,yes,cellular,29,jul,57,7.0,-1,0.0,unknown,no
161,38.0,blue-collar,married,secondary,,no,1116.0,no,no,unknown,9,jun,80,3.0,-1,0.0,unknown,no
162,41.0,blue-collar,married,primary,,no,262.0,yes,no,unknown,29,may,159,1.0,-1,0.0,unknown,no
163,34.0,services,married,secondary,Amadora,no,-315.0,yes,no,unknown,8,may,56,2.0,-1,0.0,unknown,no
164,30.0,technician,married,secondary,Lisboa,no,0.0,yes,no,cellular,14,may,47,,-1,0.0,unknown,no
165,33.0,blue-collar,married,tertiary,Porto,no,6138.0,yes,no,cellular,19,nov,384,1.0,183,1.0,failure,no
166,27.0,blue-collar,single,tertiary,Porto,no,567.0,no,no,cellular,25,nov,238,2.0,184,1.0,success,yes
167,26.0,services,married,secondary,,no,-285.0,yes,yes,unknown,4,jun,279,1.0,-1,0.0,unknown,no
168,52.0,housemaid,married,primary,Amadora,no,310.0,no,y,unknown,12,jun,100,4.0,-1,0.0,unknown,no
169,31.0,blue-collar,married,primary,Porto,no,229.0,no,n,telephone,8,jul,186,2.0,-1,0.0,unknown,no
170,33.0,administrator,single,secondary,Lisboa,no,315.0,yes,yes,cellular,14,may,888,3.0,-1,0.0,unknown,yes
171,39.0,admin.,married,secondary,Amadora,no,1757.0,no,n,telephone,28,oct,125,,-1,0.0,unknown,yes
172,34.0,blue-collar,married,primary,Lisboa,no,567.0,no,y,cellular,8,jul,241,3.0,-1,0.0,unknown,no
173,50.0,technician,married,secondary,,no,3263.0,yes,n,cellular,23,jul,115,1.0,-1,0.0,unknown,no
174,29.0,blue-collar,married,secondary,,no,9.0,yes,n,cellular,25,jul,236,8.0,-1,0.0,unknown,no
175,45.0,administrator,divorced,unknown,,no,857.0,no,n,,8,jul,49,7.0,-1,0.0,unknown,no
176,30.0,technician,divorced,secondary,Braga,no,2403.0,no,no,cellular,20,aug,132,2.0,-1,0.0,unknown,no
177,48.0,technician,married,primary,,no,788.0,no,no,telephone,9,jul,36,2.0,-1,0.0,unknown,no
178,33.0,management,divorced,secondary,Porto,no,321.0,no,yes,cellular,30,jul,151,10.0,-1,0.0,unknown,no
179,41.0,technician,married,secondary,Lisboa,no,,yes,yes,cellular,21,nov,285,,116,4.0,failure,no
180,31.0,self-employed,married,secondary,,no,581.0,yes,n,cellular,14,may,303,3.0,174,3.0,failure,no
181,31.0,services,married,secondary,,no,182.0,no,no,cellular,20,aug,231,2.0,-1,0.0,unknown,no
182,26.0,management,single,tertiary,,no,2692.0,no,no,unknown,28,may,159,2.0,-1,0.0,unknown,no
183,30.0,services,single,secondary,Lisboa,no,-172.0,yes,y,cellular,17,apr,282,4.0,329,2.0,other,no
184,38.0,,married,secondary,,no,507.0,yes,no,unknown,8,may,95,1.0,-1,0.0,unknown,no
185,44.0,management,married,secondary,,no,2984.0,yes,no,unknown,15,may,770,2.0,-1,0.0,unknown,no
186,45.0,blue-collar,married,primary,,no,1265.0,yes,no,cellular,11,may,40,8.0,299,1.0,success,no
187,37.0,unemployed,single,secondary,Porto,no,443.0,no,no,cellular,29,jan,1600,1.0,-1,0.0,unknown,yes
188,74.0,retired,married,primary,,no,670.0,no,no,cellular,23,apr,266,5.0,-1,0.0,unknown,yes
189,57.0,blue-collar,married,primary,,no,133.0,no,y,cellular,30,jul,173,4.0,-1,0.0,unknown,no
190,38.0,blue-collar,married,secondary,,no,702.0,no,no,unknown,17,jun,92,,-1,0.0,unknown,no
191,47.0,administrator,married,primary,,no,31.0,yes,no,cellular,6,may,50,1.0,356,1.0,failure,no
192,41.0,technician,married,secondary,Lisboa,no,593.0,no,no,cellular,29,aug,95,6.0,-1,0.0,unknown,no
193,39.0,technician,married,tertiary,,no,1293.0,no,no,cellular,3,jun,-1,2.0,-1,0.0,unknown,yes
194,59.0,technician,divorced,secondary,,no,-296.0,no,y,cellular,29,jan,34,1.0,-1,0.0,unknown,no
195,31.0,technician,married,secondary,,no,518.0,yes,no,,25,aug,348,2.0,-1,0.0,unknown,no
196,23.0,student,single,secondary,,no,922.0,no,no,cellular,25,nov,242,1.0,85,8.0,failure,no
197,29.0,administrator,married,secondary,Coimbra,no,,yes,n,unknown,2,jun,150,5.0,-1,0.0,unknown,no
198,52.0,entrepreneur,divorced,tertiary,,no,199.0,yes,yes,unknown,12,jun,246,2.0,-1,0.0,unknown,no
199,49.0,services,married,secondary,Lisboa,no,7019.0,yes,no,cellular,2,jun,263,1.0,368,3.0,failure,yes
200,28.0,admin.,single,secondary,,no,136.0,no,no,cellular,16,jun,355,1.0,-1,0.0,unknown,yes
201,34.0,technician,divorced,secondary,Porto,no,-324.0,no,no,cellular,14,aug,166,4.0,-1,0.0,unknown,no
202,27.0,management,single,tertiary,Lisboa,no,828.0,no,no,cellular,30,apr,243,1.0,-1,0.0,unknown,no
203,48.0,unemployed,married,primary,Lisboa,no,551.0,yes,no,unknown,29,may,162,2.0,-1,0.0,unknown,no
204,28.0,admin.,married,secondary,,no,423.0,yes,no,cellular,23,jul,245,1.0,-1,0.0,unknown,no
205,27.0,services,married,secondary,,no,58.0,yes,n,cellular,7,may,113,1.0,337,2.0,other,no
206,32.0,management,divorced,tertiary,,no,222.0,no,yes,cellular,15,jul,820,4.0,-1,0.0,unknown,yes
207,48.0,technician,married,secondary,,no,5.0,no,no,unknown,9,jun,65,6.0,-1,0.0,unknown,no
208,35.0,unemployed,single,secondary,,no,145.0,no,no,cellular,17,jul,354,1.0,-1,0.0,unknown,no
209,33.0,admin.,married,secondary,,no,347.0,yes,n,cellular,9,feb,7,7.0,193,13.0,failure,no
210,32.0,management,single,tertiary,Lisboa,no,574.0,yes,n,cellular,20,nov,171,1.0,127,2.0,failure,no
211,37.0,services,married,secondary,,no,-601.0,yes,no,cellular,11,jul,210,2.0,-1,0.0,unknown,no
212,54.0,blue-collar,married,primary,Porto,no,-239.0,yes,no,,23,may,29,1.0,-1,0.0,unknown,no
213,54.0,services,married,secondary,Lisboa,no,88.0,yes,no,unknown,13,may,190,1.0,-1,0.0,unknown,no
214,55.0,blue-collar,divorced,primary,,no,410.0,no,yes,cellular,11,jul,221,2.0,-1,0.0,unknown,no
215,39.0,services,married,secondary,Braga,no,104.0,yes,no,cellular,20,apr,116,2.0,332,6.0,failure,no
216,42.0,technician,married,tertiary,Lisboa,no,1397.0,yes,no,,6,feb,135,7.0,-1,0.0,unknown,no
217,35.0,technician,single,secondary,,no,1227.0,no,n,cellular,30,jul,1005,5.0,134,10.0,success,yes
218,59.0,retired,divorced,secondary,,no,602.0,no,n,unknown,20,jun,89,3.0,-1,0.0,unknown,no
219,36.0,management,married,tertiary,Lisboa,no,274.0,no,n,cellular,13,aug,122,2.0,-1,0.0,unknown,no
220,38.0,technician,single,secondary,,no,2079.0,yes,yes,,29,may,122,1.0,-1,0.0,unknown,no
221,24.0,admin.,single,tertiary,Porto,no,-61.0,no,n,cellular,11,mar,95,,-1,0.0,unknown,yes
222,30.0,management,married,tertiary,Lisboa,no,294.0,no,no,cellular,20,aug,605,4.0,-1,0.0,unknown,no
223,39.0,management,married,tertiary,,no,-124.0,no,yes,cellular,22,jul,182,1.0,-1,0.0,unknown,no
224,48.0,management,married,unknown,,no,970.0,no,no,cellular,31,jul,67,2.0,-1,0.0,unknown,no
225,38.0,blue-collar,married,primary,Lisboa,no,3289.0,no,no,unknown,9,jun,553,2.0,-1,0.0,unknown,no
226,38.0,management,divorced,tertiary,Braga,no,151.0,yes,n,cellular,17,jul,50,1.0,-1,0.0,unknown,no
227,57.0,services,divorced,primary,Lisboa,no,1367.0,no,no,unknown,9,jun,144,3.0,-1,0.0,unknown,no
228,39.0,management,married,tertiary,Lisboa,no,9579.0,yes,n,cellular,18,nov,160,3.0,-1,0.0,unknown,no
229,45.0,housemaid,married,tertiary,,no,40.0,yes,n,cellular,3,sep,81,1.0,213,1.0,failure,no
230,41.0,management,married,tertiary,Lisboa,no,783.0,yes,no,cellular,14,jul,126,3.0,-1,0.0,unknown,no
231,36.0,management,single,tertiary,Lisboa,no,156.0,no,no,cellular,22,aug,122,1.0,-1,0.0,unknown,no
232,44.0,blue-collar,married,primary,,no,-11.0,yes,no,unknown,9,may,13,1.0,-1,0.0,unknown,no
233,37.0,admin.,single,secondary,Porto,no,262.0,no,no,cellular,7,aug,305,1.0,179,5.0,other,no
234,51.0,entrepreneur,married,secondary,,no,0.0,no,n,unknown,30,may,510,,-1,0.0,unknown,no
235,38.0,blue-collar,married,primary,,no,467.0,yes,no,unknown,16,may,379,1.0,-1,0.0,unknown,no
236,31.0,technician,single,secondary,,no,137.0,no,no,cellular,27,aug,27,14.0,-1,0.0,unknown,no
237,35.0,management,single,secondary,Porto,no,1031.0,yes,no,cellular,22,jul,254,1.0,-1,0.0,unknown,no
238,56.0,unemployed,married,secondary,,no,1350.0,no,no,cellular,2,jun,211,1.0,-1,0.0,unknown,no
239,32.0,self-employed,divorced,tertiary,,no,3695.0,yes,n,cellular,15,may,34,1.0,353,3.0,other,no
240,39.0,blue-collar,married,primary,Braga,no,,yes,yes,cellular,21,nov,229,2.0,-1,0.0,unknown,no
241,26.0,services,married,secondary,,no,-379.0,yes,yes,cellular,22,jul,1237,7.0,-1,0.0,unknown,yes
242,30.0,blue-collar,single,tertiary,,no,4127.0,yes,no,telephone,21,nov,47,4.0,-1,0.0,unknown,no
243,29.0,blue-collar,married,secondary,Lisboa,no,358.0,no,no,cellular,21,jul,88,,-1,0.0,unknown,no
